regime,policy,episode,total_return,service_level,avg_on_hand,holding_cost,penalty_cost
stationary,random,0,1780.0000,0.9942,24.0962,1253.0000,15.0000
stationary,random,1,1496.0000,0.9938,26.1731,1361.0000,15.0000
stationary,random,2,1506.0000,1.0000,27.3077,1420.0000,0.0000
stationary,random,3,2097.0000,0.9964,21.9808,1143.0000,10.0000
stationary,random,4,1662.0000,0.9941,26.4423,1375.0000,15.0000
stationary,random,5,1514.0000,0.9780,26.9038,1399.0000,55.0000
stationary,random,6,1674.0000,0.9774,25.2692,1314.0000,60.0000
stationary,random,7,1655.0000,0.9110,18.0000,936.0000,235.0000
stationary,random,8,1902.0000,0.9923,23.2308,1208.0000,20.0000
stationary,random,9,1520.0000,0.9817,24.7500,1287.0000,45.0000
stationary,random,10,1951.0000,0.9782,23.1346,1203.0000,60.0000
stationary,random,11,1732.0000,0.9804,23.8077,1238.0000,50.0000
stationary,random,12,1663.0000,0.9681,24.9231,1296.0000,85.0000
stationary,random,13,2006.0000,1.0000,24.8462,1292.0000,0.0000
stationary,random,14,1918.0000,0.9849,22.4615,1168.0000,40.0000
stationary,random,15,1794.0000,0.9850,25.4615,1324.0000,40.0000
stationary,random,16,1827.0000,0.9812,23.8654,1241.0000,50.0000
stationary,random,17,1756.0000,1.0000,25.7308,1338.0000,0.0000
stationary,random,18,1567.0000,0.9802,24.8269,1291.0000,50.0000
stationary,random,19,1780.0000,0.9902,23.7115,1233.0000,25.0000
stationary,random,20,1823.0000,0.9211,17.8269,927.0000,210.0000
stationary,random,21,1817.0000,0.9769,22.5962,1175.0000,60.0000
stationary,random,22,1938.0000,0.9779,23.6154,1228.0000,60.0000
stationary,random,23,1973.0000,0.9847,20.5962,1071.0000,40.0000
stationary,random,24,1679.0000,0.9712,24.5385,1276.0000,75.0000
stationary,random,25,1651.0000,1.0000,27.4038,1425.0000,0.0000
stationary,random,26,1855.0000,0.9783,20.8846,1086.0000,55.0000
stationary,random,27,1854.0000,0.9465,20.8269,1083.0000,145.0000
stationary,random,28,1857.0000,1.0000,25.4038,1321.0000,0.0000
stationary,random,29,1251.0000,0.9313,26.2500,1365.0000,170.0000
stationary,random,30,1671.0000,0.9882,24.5577,1277.0000,30.0000
stationary,random,31,1666.0000,0.9637,24.7885,1289.0000,95.0000
stationary,random,32,1670.0000,0.9387,20.1923,1050.0000,160.0000
stationary,random,33,1899.0000,0.9907,24.2692,1262.0000,25.0000
stationary,random,34,1910.0000,1.0000,25.1154,1306.0000,0.0000
stationary,random,35,1735.0000,0.9520,21.3077,1108.0000,125.0000
stationary,random,36,1945.0000,0.9945,23.3462,1214.0000,15.0000
stationary,random,37,2000.0000,0.9905,21.5577,1121.0000,25.0000
stationary,random,38,1897.0000,0.9729,24.0385,1250.0000,75.0000
stationary,random,39,1883.0000,0.9962,24.2500,1261.0000,10.0000
stationary,random,40,1987.0000,0.9828,20.8846,1086.0000,45.0000
stationary,random,41,1875.0000,0.9981,24.3846,1268.0000,5.0000
stationary,random,42,1860.0000,0.9824,22.0577,1147.0000,45.0000
stationary,random,43,1645.0000,0.9470,23.2885,1211.0000,140.0000
stationary,random,44,1993.0000,0.9815,21.9423,1141.0000,50.0000
stationary,random,45,1943.0000,1.0000,23.5962,1227.0000,0.0000
stationary,random,46,1921.0000,1.0000,24.7500,1287.0000,0.0000
stationary,random,47,1897.0000,0.9794,22.7692,1184.0000,55.0000
stationary,random,48,2001.0000,1.0000,22.0192,1145.0000,0.0000
stationary,random,49,1987.0000,0.9612,17.8654,929.0000,100.0000
stationary,random,50,1820.0000,0.9712,22.0577,1147.0000,75.0000
stationary,random,51,1767.0000,0.9807,22.5577,1173.0000,50.0000
stationary,random,52,1803.0000,0.9981,24.8462,1292.0000,5.0000
stationary,random,53,1574.0000,0.9151,20.0385,1042.0000,220.0000
stationary,random,54,1785.0000,1.0000,24.9423,1297.0000,0.0000
stationary,random,55,1794.0000,0.9961,23.9231,1244.0000,10.0000
stationary,random,56,2101.0000,0.9814,18.6731,971.0000,50.0000
stationary,random,57,1648.0000,0.9880,24.5000,1274.0000,30.0000
stationary,random,58,1942.0000,0.9945,24.3269,1265.0000,15.0000
stationary,random,59,1646.0000,0.9923,27.6154,1436.0000,20.0000
stationary,random,60,2015.0000,0.9963,21.7885,1133.0000,10.0000
stationary,random,61,1911.0000,0.9292,16.7885,873.0000,190.0000
stationary,random,62,1577.0000,0.9530,22.0000,1144.0000,115.0000
stationary,random,63,1691.0000,0.9537,20.7308,1078.0000,115.0000
stationary,random,64,1778.0000,1.0000,24.6538,1282.0000,0.0000
stationary,random,65,1951.0000,0.9571,19.5385,1016.0000,115.0000
stationary,random,66,1809.0000,1.0000,24.5192,1275.0000,0.0000
stationary,random,67,1711.0000,0.9714,24.5000,1274.0000,75.0000
stationary,random,68,1707.0000,0.9924,26.4423,1375.0000,20.0000
stationary,random,69,1891.0000,0.9981,24.1538,1256.0000,5.0000
stationary,random,70,2276.0000,0.9876,19.2115,999.0000,35.0000
stationary,random,71,1748.0000,1.0000,23.6538,1230.0000,0.0000
stationary,random,72,1573.0000,0.9654,23.0385,1198.0000,85.0000
stationary,random,73,1660.0000,1.0000,25.6154,1332.0000,0.0000
stationary,random,74,1785.0000,0.9802,21.1731,1101.0000,50.0000
stationary,random,75,1539.0000,0.9836,25.7885,1341.0000,40.0000
stationary,random,76,1691.0000,0.9776,22.3077,1160.0000,55.0000
stationary,random,77,1262.0000,0.9700,26.8846,1398.0000,70.0000
